Date,1,2,3,4,5,6,7,8,9,10
"2025-08-04","3","0","0","0","0","0","1","1","0","1"
"2025-08-05","2","0","0","3","0","2","0","1","1","3"
"2025-08-06","5","0","0","0","3","2","1","2","0","2"
"2025-08-07","3","0","0","0","2","3","0","0","0","4"
"2025-08-08","0","0","0","0","0","0","5","1","1","2"
"2025-08-09","4","0","0","0","0","1","1","2","1","2"
"2025-08-10","0","0","0","1","0","1","1","3","1","4"
"2025-08-11","1","0","0","1","2","0","0","4","1","1"
"2025-08-12","0","0","0","0","1","0","0","1","1","3"
"2025-08-13","0","0","0","0","0","2","0","1","0","1"
"2025-08-14","1","0","1","0","0","0","0","1","1","0"
"2025-08-15","0","0","1","0","0","2","0","1","0","2"
"2025-08-16","0","1","1","0","1","0","0","3","2","0"
"2025-08-17","1","0","1","1","1","1","0","2","1","5"
"2025-08-18","2","1","0","0","1","0","0","1","0","1"
"2025-08-19","1","0","1","0","0","0","1","2","0","0"
"2025-08-20","0","0","0","0","0","0","0","0","0","1"
"2025-08-21","0","1","1","0","0","0","1","0","0","0"
"2025-08-22","0","0","0","0","0","0","0","0","0","1"
"2025-08-23","0","0","0","0","0","0","1","0","0","0"
"2025-08-24","1","0","0","1","0","0","0","0","1","2"
"2025-08-25","0","0","0","0","0","0","0","0","1","0"
"2025-08-26","0","0","0","0","0","0","1","0","0","0"
"2025-08-27","0","0","0","1","0","0","0","0","0","1"
"2025-08-28","0","0","1","0","0","0","0","0","0","1"
"2025-08-29","0","0","0","0","0","1","0","0","0","2"
"2025-08-30","0","0","0","0","0","0","0","0","0","1"
"2025-09-01","0","0","0","0","0","0","0","0","0","1"
"2025-09-02","0","0","0","0","0","0","0","0","0","2"
"2025-09-05","1","0","0","0","0","0","0","1","0","0"
"2025-09-06","1","1","0","0","0","0","0","0","0","0"
"2025-09-07","0","0","0","0","0","0","0","0","1","0"
"2025-09-08","0","0","0","0","0","0","1","0","0","0"
"2025-09-09","0","0","0","0","0","0","0","0","0","1"
"2025-09-11","0","0","0","0","0","0","0","0","1","0"
"2025-09-15","0","0","0","0","0","0","0","0","0","1"
"2025-09-16","0","0","0","0","0","0","0","1","0","0"
"2025-09-19","0","0","0","0","0","0","0","0","1","0"
"2025-09-21","0","0","0","0","0","0","0","0","0","1"
"2025-09-24","0","0","0","0","0","0","0","0","0","1"
"2025-09-28","0","0","0","0","0","0","0","0","0","1"
"2025-10-03","0","0","0","0","0","0","0","0","0","1"
"2025-10-06","0","0","0","0","0","0","0","0","0","1"
"2025-10-11","0","0","0","0","0","0","0","0","0","1"
"2025-10-12","0","0","0","0","0","0","0","0","1","1"
"2025-10-14","0","0","0","0","0","0","0","0","0","1"
